Promoter,Longest_CREB1_NCSite,Longest_EGR1_NCSite,Contains_CREB1_PWM,Contains_EGR1_PWM
chr1:112160768-112162768,20.0,12.0,0,1
chr1:113249749-113251749,15.0,18.0,0,1
chr1:120612276-120614276,18.0,15.0,0,1
chr1:120612317-120614317,18.0,15.0,0,1
chr1:120612242-120614242,18.0,15.0,0,1
chr1:118470361-118472361,18.0,15.0,1,0
chr1:144612958-144614958,18.0,15.0,0,0
chr1:145725697-145727697,19.0,18.0,0,0
chr1:144144810-144146810,21.0,20.0,0,0
chr1:144144811-144146811,21.0,20.0,0,0
chr1:145291370-145293370,16.0,13.0,0,0
chr1:145725665-145727665,19.0,18.0,0,0
chr1:148346791-148348791,27.0,28.0,0,0
chr1:144591687-144593687,22.0,25.0,0,1
chr1:149982675-149984675,14.0,14.0,0,1
chr1:154164576-154166576,18.0,13.0,0,1
chr1:154155694-154157694,31.0,31.0,0,0
chr1:154155725-154157725,31.0,31.0,0,0
chr1:154150680-154152680,20.0,17.0,0,1
chr1:156261289-156263289,14.0,16.0,0,0
chr1:156252681-156254681,15.0,12.0,0,0
chr1:156252616-156254616,15.0,12.0,0,0
chr1:164526596-164528596,20.0,22.0,0,1
chr1:164526958-164528958,23.0,22.0,0,1
chr1:161473246-161475246,33.0,30.0,0,0
chr1:164526420-164528420,20.0,22.0,0,0
chr1:171808637-171810637,14.0,14.0,0,1
chr1:175034968-175036968,18.0,13.0,0,0
chr1:170902611-170904611,18.0,23.0,0,0
chr1:173020081-173022081,29.0,22.0,0,0
chr1:170902674-170904674,18.0,23.0,0,0
chr1:183439633-183441633,21.0,15.0,0,0
chr1:179260931-179262931,18.0,16.0,0,0
chr1:178061238-178063238,15.0,14.0,0,0
chr1:177138093-177140093,19.0,17.0,0,0
chr1:180471712-180473712,23.0,23.0,0,0
chr1:182417280-182419280,17.0,17.0,0,0
chr1:179260848-179262848,18.0,17.0,0,0
chr1:186649555-186651555,24.0,19.0,0,0
chr1:198124127-198126127,17.0,23.0,0,1
chr1:197170423-197172423,21.0,21.0,0,1
chr1:202315826-202317826,20.0,18.0,0,0
chr1:202315829-202317829,20.0,18.0,0,0
chr1:217311044-217313044,25.0,17.0,0,1
chr1:217250334-217252334,16.0,15.0,0,0
chr1:210499595-210501595,23.0,20.0,0,1
chr1:216596790-216598790,24.0,43.0,1,0
chr1:217263910-217265910,16.0,17.0,0,0
chr1:217113015-217115015,19.0,18.0,1,0
chr1:217251629-217253629,16.0,15.0,0,0
chr1:212873182-212875182,13.0,13.0,0,1
chr1:210500249-210502249,23.0,20.0,0,1
chr1:217262960-217264960,21.0,19.0,0,0
chr1:217262987-217264987,21.0,19.0,0,0
chr1:210500245-210502245,23.0,20.0,0,1
chr1:210500709-210502709,20.0,15.0,0,1
chr1:217263166-217265166,21.0,19.0,0,0
chr1:225115376-225117376,20.0,16.0,0,0
chr1:220219847-220221847,25.0,25.0,1,1
chr1:228594536-228596536,43.0,39.0,0,1
chr1:229644088-229646088,15.0,13.0,1,1
chr1:241520505-241522505,21.0,55.0,0,1
chr1:241520530-241522530,21.0,55.0,0,1
chr1:241520258-241522258,21.0,55.0,0,1
chr1:236956591-236958591,18.0,19.0,0,1
chr1:236047008-236049008,24.0,23.0,0,0
chr1:236956580-236958580,18.0,19.0,0,1
chr1:241519126-241521126,16.0,55.0,0,1
chr1:236030206-236032206,19.0,23.0,0,1
chr1:246670581-246672581,21.0,15.0,0,0
chr1:246580714-246582714,16.0,14.0,0,0
chr1:246518842-246520842,15.0,15.0,0,1
chr1:245316286-245318286,15.0,13.0,0,1
chr1:247495169-247497169,17.0,11.0,0,1
chr1:1182102-1184102,15.0,14.0,0,1
chr1:1655769-1657769,16.0,26.0,1,1
chr1:1711470-1713470,16.0,12.0,0,0
chr1:1710255-1712255,16.0,10.0,0,1
chr1:1709909-1711909,16.0,10.0,0,1
chr1:2157757-2159757,14.0,11.0,0,0
chr1:2717433-2719433,19.0,11.0,0,1
chr1:2485803-2487803,13.0,12.0,0,0
chr1:3771830-3773830,19.0,20.0,0,1
chr1:3528072-3530072,18.0,13.0,0,1
chr1:3667013-3669013,18.0,14.0,1,0
chr1:3772039-3774039,16.0,20.0,0,1
chr1:4712668-4714668,17.0,10.0,0,1
chr1:6052485-6054485,17.0,12.0,1,0
chr1:6084392-6086392,21.0,17.0,0,0
chr1:6092747-6094747,14.0,13.0,0,1
chr1:6103947-6105947,15.0,13.0,0,1
chr1:6050735-6052735,15.0,10.0,0,1
chr1:6557291-6559291,19.0,10.0,0,1
chr1:6843383-6845383,15.0,13.0,0,1
chr1:6557472-6559472,19.0,10.0,0,0
chr1:6580152-6582152,18.0,20.0,0,0
chr1:6445828-6447828,15.0,19.0,0,0
chr1:6453827-6455827,23.0,20.0,0,1
chr1:7842350-7844350,16.0,17.0,0,1
chr1:7727789-7729789,15.0,14.0,1,1
chr1:8000899-8002899,29.0,18.0,0,1
chr1:7842488-7844488,16.0,17.0,0,1
chr1:7727803-7729803,15.0,14.0,1,1
chr1:7727824-7729824,15.0,14.0,1,1
chr1:9292832-9294832,28.0,25.0,0,1
chr1:8877699-8879699,35.0,37.0,0,1
chr1:9297905-9299905,20.0,17.0,0,1
chr1:9189161-9191161,19.0,17.0,0,1
chr1:10269673-10271673,19.0,13.0,0,1
chr1:9884584-9886584,19.0,15.0,0,1
chr1:10091015-10093015,20.0,19.0,0,0
chr1:10288821-10290821,32.0,29.0,0,0
chr1:10268627-10270627,18.0,19.0,0,1
chr1:9884023-9886023,19.0,12.0,0,1
chr1:9970327-9972327,29.0,29.0,0,1
chr1:10268763-10270763,18.0,19.0,0,1
chr1:11159926-11161926,20.0,23.0,1,1
chr1:10856703-10858703,15.0,12.0,0,0
chr1:11322608-11324608,29.0,26.0,0,1
chr1:11026744-11028744,24.0,22.0,0,0
chr1:10533006-10535006,15.0,18.0,0,1
chr1:12038237-12040237,20.0,18.0,0,1
chr1:12288086-12290086,15.0,17.0,0,1
chr1:11794141-11796141,21.0,15.0,0,0
chr1:12121359-12123359,15.0,13.0,0,0
chr1:11794192-11796192,21.0,15.0,0,0
chr1:12038500-12040500,20.0,17.0,0,1
chr1:12121433-12123433,15.0,13.0,0,0
chr1:13112702-13114702,15.0,15.0,0,0
chr1:13117832-13119832,15.0,21.0,0,0
chr1:12702103-12704103,28.0,25.0,1,1
chr1:15571720-15573720,15.0,15.0,0,0
chr1:14923180-14925180,14.0,12.0,0,1
chr1:15254295-15256295,20.0,17.0,0,0
chr1:15248624-15250624,26.0,23.0,0,1
chr1:14923212-14925212,14.0,12.0,0,1
chr1:15270414-15272414,20.0,21.0,0,1
chr1:15254161-15256161,20.0,17.0,0,0
chr1:16678975-16680975,16.0,21.0,0,0
chr1:15941952-15943952,22.0,19.0,0,0
chr1:16172201-16174201,35.0,32.0,0,1
chr1:15851307-15853307,17.0,18.0,1,1
chr1:15851342-15853342,17.0,18.0,1,1
chr1:17445946-17447946,23.0,20.0,0,1
chr1:16940059-16942059,18.0,20.0,0,0
chr1:17529622-17531622,19.0,12.0,0,0
chr1:17307173-17309173,28.0,29.0,0,1
chr1:17308081-17310081,28.0,29.0,0,1
chr1:17307115-17309115,28.0,29.0,0,1
chr1:17942807-17944807,14.0,11.0,0,1
chr1:17864192-17866192,25.0,23.0,0,1
chr1:17905047-17907047,17.0,21.0,0,1
chr1:18079827-18081827,21.0,21.0,0,0
chr1:18432291-18434291,37.0,33.0,0,1
chr1:19812033-19814033,15.0,20.0,0,1
chr1:19536760-19538760,15.0,16.0,1,0
chr1:19283170-19285170,13.0,15.0,0,1
chr1:18955339-18957339,20.0,14.0,0,0
chr1:19810789-19812789,16.0,12.0,0,1
chr1:20126409-20128409,29.0,26.0,0,1
chr1:21113145-21115145,15.0,12.0,0,1
chr1:21113165-21115165,15.0,14.0,0,1
chr1:21833915-21835915,24.0,21.0,0,1
chr1:21671997-21673997,15.0,11.0,0,1
chr1:21875762-21877762,18.0,17.0,0,1
chr1:21437876-21439876,32.0,29.0,1,0
chr1:21503390-21505390,21.0,18.0,0,1
chr1:21833476-21835476,24.0,21.0,0,1
chr1:21113800-21115800,22.0,22.0,0,1
chr1:21113159-21115159,15.0,12.0,0,1
chr1:21494532-21496532,22.0,23.0,0,0
chr1:22377201-22379201,27.0,22.0,0,0
chr1:22263803-22265803,28.0,25.0,0,1
chr1:22776343-22778343,18.0,17.0,0,1
chr1:22136757-22138757,23.0,23.0,0,0
chr1:23857725-23859725,18.0,20.0,0,0
chr1:23495351-23497351,25.0,22.0,1,1
chr1:23495349-23497349,25.0,22.0,1,1
chr1:23751241-23753241,19.0,19.0,0,1
chr1:24737976-24739976,16.0,17.0,0,1
chr1:24513779-24515779,21.0,17.0,0,0
chr1:24740239-24742239,27.0,25.0,0,1
chr1:24740291-24742291,27.0,25.0,0,1
chr1:24880577-24882577,14.0,22.0,0,1
chr1:24740514-24742514,27.0,25.0,0,1
chr1:25755348-25757348,27.0,24.0,0,0
chr1:25747405-25749405,18.0,12.0,0,0
chr1:25755387-25757387,27.0,24.0,0,0
chr1:25941281-25943281,14.0,12.0,0,1
chr1:26020645-26022645,26.0,14.0,0,0
chr1:26854251-26856251,19.0,20.0,0,1
chr1:26604576-26606576,14.0,12.0,0,1
chr1:26867602-26869602,21.0,18.0,0,1
chr1:26735307-26737307,30.0,13.0,0,1
chr1:27646635-27648635,22.0,22.0,0,0
chr1:27930005-27932005,21.0,15.0,0,1
chr1:27816678-27818678,22.0,18.0,0,1
chr1:27930655-27932655,20.0,15.0,0,1
chr1:28830554-28832554,25.0,35.0,0,0
chr1:28694250-28696250,18.0,21.0,0,1
chr1:28969579-28971579,18.0,17.0,0,0
chr1:29561033-29563033,14.0,15.0,0,1
chr1:29508412-29510412,21.0,27.0,0,1
chr1:31196432-31198432,15.0,13.0,0,1
chr1:32403969-32405969,16.0,15.0,0,1
chr1:32403419-32405419,16.0,15.0,0,1
chr1:32571656-32573656,35.0,32.0,0,0
chr1:33168371-33170371,14.0,12.0,0,1
chr1:33430410-33432410,20.0,22.0,0,0
chr1:33281042-33283042,26.0,22.0,0,1
chr1:33003027-33005027,34.0,30.0,0,0
chr1:32755683-32757683,28.0,25.0,0,1
chr1:33281253-33283253,26.0,22.0,0,1
chr1:33936245-33938245,16.0,15.0,1,0
chr1:33858386-33860386,27.0,24.0,0,0
chr1:33896696-33898696,14.0,26.0,1,1
chr1:35395251-35397251,25.0,17.0,0,1
chr1:36394705-36396705,20.0,18.0,0,1
chr1:36590823-36592823,20.0,10.0,0,1
chr1:35732309-35734309,17.0,16.0,0,0
chr1:36271616-36273616,17.0,28.0,0,1
chr1:36023004-36025004,20.0,19.0,0,1
chr1:36036914-36038914,17.0,13.0,0,1
chr1:37500116-37502116,17.0,20.0,0,1
chr1:36851525-36853525,17.0,12.0,0,0
chr1:38412729-38414729,26.0,26.0,0,0
chr1:38019894-38021894,21.0,19.0,0,0
chr1:38412725-38414725,26.0,26.0,0,0
chr1:38412541-38414541,26.0,26.0,0,0
chr1:38273880-38275880,19.0,16.0,0,1
chr1:38407936-38409936,23.0,16.0,1,0
chr1:39325444-39327444,39.0,34.0,0,1
chr1:40625058-40627058,22.0,23.0,0,1
chr1:40254537-40256537,14.0,21.0,0,1
chr1:39955307-39957307,14.0,16.0,0,1
chr1:41627104-41629104,18.0,16.0,1,0
chr1:41707978-41709978,13.0,12.0,0,1
chr1:41247458-41249458,18.0,11.0,0,1
chr1:41628689-41630689,16.0,18.0,0,0
chr1:42844462-42846462,28.0,25.0,0,0
chr1:42384593-42386593,24.0,17.0,0,0
chr1:42800906-42802906,18.0,17.0,0,1
chr1:42800886-42802886,18.0,17.0,0,1
chr1:42800626-42802626,18.0,17.0,0,1
chr1:42801551-42803551,25.0,18.0,0,0
chr1:43853569-43855569,15.0,12.0,0,1
chr1:43248702-43250702,19.0,19.0,0,1
chr1:43764652-43766652,18.0,12.0,0,1
chr1:43636000-43638000,17.0,17.0,0,1
chr1:44171206-44173206,15.0,14.0,0,1
chr1:44820929-44822929,20.0,18.0,1,0
chr1:44171167-44173167,15.0,14.0,0,1
chr1:44820951-44822951,20.0,18.0,1,0
chr1:44410621-44412621,18.0,15.0,0,0
chr1:45452394-45454394,26.0,25.0,0,1
chr1:45956835-45958835,27.0,26.0,0,0
chr1:45210065-45212065,30.0,27.0,1,1
chr1:45672277-45674277,16.0,14.0,0,1
chr1:45203508-45205508,24.0,23.0,0,1
chr1:45452267-45454267,26.0,25.0,0,1
chr1:46664106-46666106,18.0,37.0,0,1
chr1:46598301-46600301,20.0,23.0,0,1
chr1:46596345-46598345,19.0,18.0,1,0
chr1:46328019-46330019,25.0,25.0,0,0
chr1:46598708-46600708,20.0,23.0,0,1
chr1:47069940-47071940,21.0,15.0,0,0
chr1:46685977-46687977,17.0,23.0,0,1
chr1:46267284-46269284,29.0,26.0,0,1
chr1:46663171-46665171,18.0,19.0,0,1
chr1:46267283-46269283,29.0,26.0,0,1
chr1:46597443-46599443,19.0,18.0,1,1
chr1:46598467-46600467,20.0,23.0,0,1
chr1:46642160-46644160,19.0,20.0,1,0
chr1:46267278-46269278,29.0,26.0,0,1
chr1:46640573-46642573,22.0,21.0,0,0
chr1:47797461-47799461,23.0,18.0,0,0
chr1:47425035-47427035,18.0,22.0,1,0
chr1:47530902-47532902,18.0,17.0,0,0
chr1:48937880-48939880,17.0,15.0,1,0
chr1:48937876-48939876,17.0,15.0,1,0
chr1:50511726-50513726,19.0,18.0,0,0
chr1:50569902-50571902,17.0,18.0,1,0
chr1:50573504-50575504,19.0,18.0,0,1
chr1:50572591-50574591,25.0,18.0,0,0
chr1:50567580-50569580,19.0,22.0,0,0
chr1:51787940-51789940,18.0,16.0,0,0
chr1:51796236-51798236,16.0,15.0,0,1
chr1:52344609-52346609,18.0,17.0,1,0
chr1:52080763-52082763,38.0,36.0,0,1
chr1:51796234-51798234,16.0,15.0,0,1
chr1:51984938-51986938,16.0,14.0,0,1
chr1:51810788-51812788,17.0,17.0,0,1
chr1:52343712-52345712,18.0,16.0,1,0
chr1:51795874-51797874,16.0,12.0,0,1
chr1:52344399-52346399,18.0,17.0,1,0
chr1:53018762-53020762,28.0,15.0,0,1
chr1:52831877-52833877,20.0,19.0,0,1
chr1:52605760-52607760,20.0,17.0,0,1
chr1:53190124-53192124,22.0,31.0,1,0
chr1:52605765-52607765,20.0,17.0,0,1
chr1:53306431-53308431,23.0,24.0,0,1
chr1:53018764-53020764,28.0,15.0,0,1
chr1:54411372-54413372,15.0,12.0,0,1
chr1:54199877-54201877,21.0,15.0,0,0
chr1:54303969-54305969,21.0,19.0,0,0
chr1:53793742-53795742,18.0,14.0,0,1
chr1:54411978-54413978,18.0,17.0,0,1
chr1:54204837-54206837,17.0,12.0,0,1
chr1:54872067-54874067,35.0,35.0,0,1
chr1:55011900-55013900,14.0,11.0,0,1
chr1:54665774-54667774,20.0,17.0,0,0
chr1:54665703-54667703,20.0,17.0,0,0
chr1:57431688-57433688,13.0,27.0,0,0
chr1:57431813-57433813,13.0,27.0,0,0
chr1:57108986-57110986,18.0,16.0,0,0
chr1:57045236-57047236,20.0,18.0,0,0
chr1:57285077-57287077,20.0,19.0,0,0
chr1:59773703-59775703,20.0,22.0,0,0
chr1:59979301-59981301,18.0,17.0,0,0
chr1:60278620-60280620,16.0,15.0,0,1
chr1:62785105-62787105,19.0,16.0,0,1
chr1:62206151-62208151,17.0,25.0,0,1
chr1:63154039-63156039,13.0,16.0,0,0
chr1:63154057-63156057,13.0,16.0,0,0
chr1:63247802-63249802,26.0,30.0,0,0
chr1:63247776-63249776,26.0,30.0,0,0
chr1:64057081-64059081,15.0,15.0,0,0
chr1:64057479-64059479,15.0,15.0,0,0
chr1:64086886-64088886,17.0,22.0,1,0
chr1:64237687-64239687,23.0,13.0,0,0
chr1:65728376-65730376,15.0,15.0,0,0
chr1:65773225-65775225,22.0,16.0,0,1
chr1:65432232-65434232,19.0,16.0,0,0
chr1:65432619-65434619,19.0,16.0,0,0
chr1:65611512-65613512,17.0,29.0,0,1
chr1:65533429-65535429,29.0,26.0,0,1
chr1:65612676-65614676,17.0,13.0,0,1
chr1:65611231-65613231,17.0,29.0,0,1
chr1:65208655-65210655,28.0,27.0,1,1
chr1:65611885-65613885,17.0,17.0,0,1
chr1:65728431-65730431,15.0,15.0,0,0
chr1:65208757-65210757,28.0,27.0,1,1
chr1:66256192-66258192,15.0,14.0,1,0
chr1:66456298-66458298,21.0,22.0,0,0
chr1:66376927-66378927,18.0,15.0,0,0
chr1:66256577-66258577,23.0,14.0,0,1
chr1:67896085-67898085,21.0,18.0,0,1
chr1:67390539-67392539,26.0,19.0,0,1
chr1:67519831-67521831,18.0,19.0,1,1
chr1:67630136-67632136,16.0,21.0,0,1
chr1:67216141-67218141,20.0,17.0,0,0
chr1:68962765-68964765,21.0,16.0,0,0
chr1:68698229-68700229,25.0,17.0,0,1
chr1:68299150-68301150,22.0,14.0,0,1
chr1:68698206-68700206,25.0,17.0,0,1
chr1:70671262-70673262,24.0,21.0,0,0
chr1:70820405-70822405,16.0,13.0,0,0
chr1:71513499-71515499,16.0,23.0,0,0
chr1:74699070-74701070,16.0,24.0,1,0
chr1:74661925-74663925,16.0,18.0,0,1
chr1:74978295-74980295,14.0,13.0,0,0
chr1:75139476-75141476,18.0,19.0,0,1
chr1:74663860-74665860,16.0,17.0,0,1
chr1:76081848-76083848,20.0,17.0,0,1
chr1:76076799-76078799,20.0,15.0,1,1
chr1:76260566-76262566,31.0,33.0,1,1
chr1:77331164-77333164,20.0,24.0,0,0
chr1:78149083-78151083,16.0,16.0,0,0
chr1:78148343-78150343,17.0,16.0,0,1
chr1:78243489-78245489,21.0,21.0,0,1
chr1:78508653-78510653,19.0,19.0,0,1
chr1:78352308-78354308,20.0,16.0,0,1
chr1:78149112-78151112,16.0,16.0,0,0
chr1:78352199-78354199,20.0,16.0,0,1
chr1:77745703-77747703,13.0,15.0,0,1
chr1:77746771-77748771,18.0,14.0,0,1
chr1:78243308-78245308,21.0,21.0,0,0
chr1:78509649-78511649,19.0,19.0,0,1
chr1:79472415-79474415,14.0,20.0,1,0
chr1:82266137-82268137,15.0,14.0,0,1
chr1:82163454-82165454,17.0,15.0,0,0
chr1:82264081-82266081,18.0,17.0,0,0
chr1:82264618-82266618,18.0,16.0,0,0
chr1:82264060-82266060,18.0,20.0,0,0
chr1:84766333-84768333,22.0,21.0,0,0
chr1:84628322-84630322,16.0,21.0,0,0
chr1:84627866-84629866,16.0,21.0,0,0
chr1:84765390-84767390,20.0,22.0,0,0
chr1:84762220-84764220,17.0,19.0,0,0
chr1:84645314-84647314,21.0,20.0,0,0
chr1:84464815-84466815,15.0,13.0,1,0
chr1:84628376-84630376,16.0,21.0,0,0
chr1:84607953-84609953,20.0,15.0,0,0
chr1:84627987-84629987,16.0,21.0,0,0
chr1:84541657-84543657,21.0,19.0,0,0
chr1:85930842-85932842,26.0,25.0,0,1
chr1:85525980-85527980,16.0,26.0,1,0
chr1:85358889-85360889,15.0,15.0,0,0
chr1:85462796-85464796,13.0,11.0,0,1
chr1:85526009-85528009,16.0,26.0,1,0
chr1:85870189-85872189,17.0,22.0,0,0
chr1:85725345-85727345,18.0,18.0,0,0
chr1:86887853-86889853,23.0,14.0,0,0
chr1:86622154-86624154,17.0,15.0,0,1
chr1:86622455-86624455,15.0,36.0,0,1
chr1:87378317-87380317,16.0,15.0,0,1
chr1:89988387-89990387,16.0,17.0,0,0
chr1:89147955-89149955,22.0,23.0,0,1
chr1:89664625-89666625,20.0,24.0,1,0
chr1:89147826-89149826,22.0,23.0,0,1
chr1:89530891-89532891,25.0,26.0,0,0
chr1:90285497-90287497,14.0,15.0,0,1
chr1:90284590-90286590,26.0,21.0,0,0
chr1:91870394-91872394,19.0,14.0,0,0
chr1:93257967-93259967,19.0,18.0,0,0
chr1:93250665-93252665,26.0,24.0,0,1
chr1:92762615-92764615,21.0,21.0,0,1
chr1:94147393-94149393,20.0,16.0,0,0
chr1:93911687-93913687,21.0,18.0,1,0
chr1:94146926-94148926,20.0,16.0,0,1
chr1:93542791-93544791,22.0,19.0,0,1
chr1:93542839-93544839,22.0,19.0,0,1
chr1:93644280-93646280,23.0,20.0,0,0
chr1:93644272-93646272,23.0,20.0,0,0
chr1:93911674-93913674,21.0,18.0,1,0
chr1:94312775-94314775,16.0,21.0,1,1
chr1:95284156-95286156,17.0,21.0,0,0
chr1:95283912-95285912,17.0,21.0,0,0
chr1:94586704-94588704,16.0,13.0,0,0
chr1:94881932-94883932,18.0,15.0,1,0
chr1:94881944-94883944,18.0,15.0,1,0
chr1:95581478-95583478,14.0,16.0,0,1
chr1:97185339-97187339,30.0,27.0,0,1
chr1:97185160-97187160,30.0,27.0,0,1
chr1:98386615-98388615,18.0,26.0,0,1
chr1:98386590-98388590,18.0,26.0,0,1
chr1:99125276-99127276,19.0,23.0,0,0
chr1:99727847-99729847,14.0,15.0,0,0
chr1:100109668-100111668,16.0,16.0,0,0
chr1:100501650-100503650,16.0,22.0,0,1
chr1:99728047-99730047,14.0,15.0,0,1
chr1:100816061-100818061,20.0,21.0,0,1
chr1:100816022-100818022,20.0,21.0,0,1
chr1:101183297-101185297,23.0,21.0,0,0
chr1:101183195-101185195,23.0,21.0,0,0
chr1:100808570-100810570,20.0,14.0,0,0
chr1:102462790-102464790,16.0,19.0,1,0
chr1:102462482-102464482,16.0,19.0,1,0
chr1:103574078-103576078,17.0,23.0,0,1
chr1:103574052-103576052,17.0,23.0,0,1
chr1:104196137-104198137,15.0,12.0,0,0
chr1:104196140-104198140,15.0,12.0,0,0
chr1:104196301-104198301,15.0,12.0,0,0
chr1:104196324-104198324,15.0,12.0,0,0
chr1:104066320-104068320,14.0,17.0,0,0
chr1:104196271-104198271,15.0,12.0,0,0
chr1:108507802-108509802,23.0,20.0,0,1
